LOCATION,TIME,AGR,INDUSTRY
AUS,2008,0.60013134,11.52703015
AUS,2009,0.54948145,11.42349108
AUS,2010,0.531802984,11.2881181
AUS,2011,0.518327706,11.6670738
AUS,2012,0.513837154,11.77359724
AUS,2013,0.522437038,11.58995028
AUS,2014,0.544924363,11.45431937
AUS,2015,0.556660349,11.10805744
AUS,2016,0.548747904,10.34918646
AUT,2008,0.184901933,15.17954896
AUT,2009,0.193742206,15.20524896
AUT,2010,0.19561627,14.92451888
AUT,2011,0.200076699,14.92968987
AUT,2012,0.20661388,15.32326264
AUT,2013,0.2125428,15.41642624
AUT,2014,0.220537518,15.38558797
AUT,2015,0.219725284,15.16998396
AUT,2016,0.219519054,15.35115073
BEL,2008,0.113056798,13.83731303
BEL,2009,0.125561267,13.43118475
BEL,2010,0.125775686,12.8957593
BEL,2011,0.133816466,13.01856089
BEL,2012,0.139025735,13.05368009
BEL,2013,0.142528741,12.96535591
BEL,2014,0.148420663,12.74303395
BEL,2015,0.152455082,12.18481116
BEL,2016,0.151606834,11.86575268
CZE,2008,1.040194606,16.87277915
CZE,2009,1.005388633,15.95873329
CZE,2010,0.929747857,15.88475078
CZE,2011,0.947495217,16.43409192
CZE,2012,0.989800774,16.70949691
CZE,2013,1.019264341,16.52424044
CZE,2014,0.992228234,16.08431644
CZE,2015,0.934572886,16.0429773
CZE,2016,0.921699461,16.27291231
DEU,2008,0.257087256,18.0575051
DEU,2009,0.274007854,18.29097568
DEU,2010,0.262523717,17.85204344
DEU,2011,0.272355336,17.92224138
DEU,2012,0.273905066,18.16463837
DEU,2013,0.279314229,18.26271426
DEU,2014,0.280966552,18.15391679
DEU,2015,0.280414827,18.03621307
DEU,2016,0.279949236,17.88472363
DNK,2008,0.528194988,14.06151728
DNK,2009,0.55167175,13.29312074
DNK,2010,0.561576664,12.05598105
DNK,2011,0.558622412,12.14117467
DNK,2012,0.552966042,11.90035243
DNK,2013,0.55982308,11.55328442
DNK,2014,0.576795877,11.59606953
DNK,2015,0.60958938,11.79132535
DNK,2016,0.632699516,12.11518138
ESP,2008,0.441088291,15.83257365
ESP,2009,0.448169304,14.35414022
ESP,2010,0.493694709,13.78991255
ESP,2011,0.50118434,12.93238586
ESP,2012,0.451474131,12.06726304
ESP,2013,0.461727888,11.53774625
ESP,2014,0.468516734,11.31798787
ESP,2015,0.485878797,11.39391391
ESP,2016,0.476396452,11.25280936
EST,2008,1.28576122,17.56417712
EST,2009,1.248696031,16.35987714
EST,2010,1.234752084,15.35473329
EST,2011,1.187295465,15.03360919
